,Bahamas,Costa Rica,Cyprus,Egypt,French Polynesia,China,South Korea,France,Slovakia,Antigua and Barbuda,Armenia,Cambodia,Panama,Guyana,East Asia & Pacific (all income levels),Japan,Vanuatu,New Zealand,Bulgaria,East Asia & Pacific (developing only),Lebanon,Saudi Arabia,Bermuda,Isle of Man,Greenland,Afghanistan,Norway,South Africa,Germany,Dominica,Solomon Islands,Montenegro,Nicaragua,South Asia,Burundi,Bahrain,Serbia,New Caledonia,Cameroon,Nepal,Georgia,Oman,Papua New Guinea,Switzerland,Laos,Comoros,Liberia,Lithuania,Morocco,Philippines,Mauritius,Zambia,Faeroe Islands,Iran,Czech Republic,Syria,Seychelles,Fiji,Jordan,Cayman Islands,Pakistan,Turkmenistan,Sao Tome and Principe,Cote d'Ivoire,Tunisia,Argentina,Grenada,Swaziland,Ghana,Thailand,Yemen,Canada,Botswana,Channel Islands,San Marino,Namibia,Macao,Latvia,Guatemala,Qatar,Poland,Azerbaijan,Nigeria,Moldova,Saint Lucia,United States Virgin Islands,Mongolia,Equatorial Guinea,American Samoa,Israel,Sri Lanka,Saint Kitts and Nevis,Democratic Republic of Congo,Bhutan,Russia,Tanzania,Haiti,Guinea,Kiribati,Palestine,Belize,Niger,Europe & Central Asia (developing only),Monaco,Iraq,Middle East & North Africa (developing only),Saint Vincent and the Grenadines,High income: OECD,Central African Republic,Estonia,Croatia,Chile,Gabon,Sub-Saharan Africa (developing only),Colombia,Belgium,Tonga,High income: nonOECD,United Arab Emirates,Kuwait,Aruba,Europe & Central Asia (all income levels),Sweden,Congo,Guinea-Bissau,Venezuela,Paraguay,Ireland,Malawi,Barbados,Bosnia and Herzegovina,Maldives,Brunei,Latin America & Caribbean (all income levels),Cape Verde,Italy,Sudan,Belarus,Uzbekistan,Middle East & North Africa (all income levels),Marshall Islands,Somalia,Finland,Suriname,Mozambique,Zimbabwe,Peru,Mauritania,Ukraine,Benin,Madagascar,Vietnam,Hungary,Uganda,Austria,Samoa,Indonesia,Bolivia,Albania,Dominican Republic,United Kingdom,Gambia,Turks and Caicos Islands,Senegal,Trinidad and Tobago,Macedonia,Togo,India,Libya,Ecuador,Northern Mariana Islands,Bangladesh,Slovenia,Iceland,Latin America & Caribbean (developing only),Honduras,Romania,Djibouti,Brazil,Angola,Algeria,Australia,Spain,Burkina Faso,North America,Kenya,Luxembourg,Denmark,Chad,Jamaica,Palau,Singapore,United States,Hong Kong,Lesotho,Uruguay,Tuvalu,Cuba,Eritrea,Malta,Sierra Leone,Portugal,Netherlands,Ethiopia,Greece,Andorra,Turkey,Kazakhstan,Mali,Micronesia (country),Sub-Saharan Africa (all income levels),Tajikistan,Puerto Rico,El Salvador,Liechtenstein,Mexico,Timor,Rwanda,North Korea,Guam,Kyrgyzstan,Myanmar,Malaysia
1985,10.83542125,4.27601181,5.863636557,0.370479845,13.54618511,0.030820616,1.372162213,10.48111295,,15.93149185,,0.163333254,2.447690148,0.667282754,0.655411975,0.70455223,2.116467222,14.7837455,0.24380208,0.184181994,12.99312223,25.45429017,26.21709023,50.06051578,17.43796992,0.482507284,3.555916461,5.775536383,,2.813688213,1.57675705,,1.137879874,1.59556765,7.19286641,32.6761638,,22.43314989,2.385691764,1.878160274,,18.83662481,1.097732536,18.59558155,0.622285263,4.01533004,3.775708301,,0.265408245,0.267853867,0.901298152,4.017304681,6.607766143,6.037604402,,5.884640317,5.100890208,1.841180446,35.65801815,44.43696609,6.82276956,,6.037254845,16.36138611,0.523789382,5.858882592,3.125907094,5.805877317,3.888327664,0.78141147,2.824147387,15.0356873,1.693574157,28.97521748,37.56385415,7.703136188,52.16290485,,1.005038621,75.97117533,3.547970755,,0.414663277,,3.43548285,46.75607477,0.316252013,1.207034195,43.50141412,35.97167494,3.121941674,6.921008163,2.418832465,4.368776785,,2.50712306,0.256931335,0.605569666,3.210636503,,15.56731912,1.703014111,,64.91538355,0.716853886,3.190695124,2.794873513,6.079127476,2.242462579,,,0.744067676,13.25481182,2.897949064,0.313852655,8.84351554,3.603929624,,74.6306555,71.50300809,15.64384083,,7.833865405,4.768367786,1.334898158,5.897661186,4.746984198,6.367432976,3.9522124,7.808806349,,1.277756382,27.51592699,1.530023787,2.705620812,2.213723302,6.244978934,,,6.463646001,3.649501748,12.76392145,0.99591898,3.929803025,0.464733906,5.797169477,0.316424447,2.467604869,,1.579399258,0.485817564,0.047823945,3.183699288,4.328392781,9.627593445,1.513466225,0.359426768,0.950374858,2.117977767,4.059960021,6.252714841,12.88881725,26.37339507,2.640965613,4.759956787,,4.80179035,1.03965882,10.77808748,0.853075351,52.30546126,0.905395207,,2.940287069,0.804346935,1.955758152,0.745009092,15.86605899,0.690285485,1.117000159,1.279208441,19.94847062,1.865963234,3.53596159,8.868959904,0.771406408,26.77512776,3.82879998,1.388589438,0.948293021,9.563439918,22.63633041,8.192423211,40.03396137,1.194122584,3.445059891,3.827474561,0.47723939,0.400508908,1.462021328,2.66704635,3.454163683,5.254211534,1.431376405,3.113062823,72.43985021,1.897215221,,2.043171949,4.782410811,2.897070201,,8.761297009,0.574240815,36.27425804,0.619616688,1.264348922,1.325783765,0.174985745,51.3278891,,0.345513045,5.762340827
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,10.47640225,13.48930263,5.714110546,0.311316471,13.02112215,0.033154155,1.334412334,10.07859168,0.779270481,19.43107292,18.58520973,0.425969735,2.49618577,0.568527327,0.661007853,0.870691372,1.471019484,15.7123551,0.246722723,0.172645234,19.37437362,28.98884958,26.43528975,49.44959609,15.37230216,0.478024988,4.602504837,3.478318182,7.473189773,3.551488834,1.496878297,,0.98422898,1.404006363,5.934466995,34.92329779,1.308581598,22.0440143,2.198310754,2.297823974,7.044981258,23.37388717,0.79494399,20.49606293,0.538297238,3.391353362,3.843829192,9.444924304,0.230848515,0.257363754,0.825104484,3.438095516,5.99820949,7.64048857,4.108036548,5.544286534,5.315714286,1.876271228,36.16242902,50.82570275,6.092301681,8.356052345,5.113801453,14.93045855,0.465834396,5.041039128,4.427434933,8.275377639,4.898238068,0.684755501,2.871884933,16.18337231,1.993746983,28.57132702,36.36930755,7.919477027,55.72935633,24.25724264,2.885359435,77.61449637,2.959191444,5.037016343,0.467918242,15.65205628,3.861629758,50.09570713,0.307580312,0.726091323,45.2406258,35.03656652,2.696685278,7.951901648,2.157140374,4.445710124,7.771793489,2.262362693,0.268798841,3.995984808,2.985734212,46.03249946,16.21097082,1.715116147,7.809342689,68.14321625,0.478520556,4.027435586,3.724339358,6.717733862,2.134669375,24.34382675,9.946401674,0.818045412,13.40661095,2.882206374,0.304266835,8.94454801,3.168614427,11.15638196,73.43940627,76.99899749,23.24129497,6.969404207,9.085009817,5.430496211,1.312809598,5.154516732,4.350885437,6.487270538,12.29544315,8.215874089,1.237023404,1.188283844,28.48925231,1.551616521,2.617096842,2.518050312,4.940209136,12.25809206,8.059483179,7.618946762,3.270613108,10.01498826,1.268542571,4.416375197,0.911698059,5.981036686,0.256534922,4.639008927,13.28320358,1.523852637,0.399496543,0.044561452,3.349820725,3.166229387,10.3315251,1.964817487,0.256624867,0.869134509,2.008585316,4.052969759,6.49157678,12.88411679,44.36363636,3.574219002,4.133221595,4.766091231,4.292909688,0.860692478,10.40105547,0.769840924,61.37542072,0.831846493,8.912044625,3.7609977,0.947177349,5.515051608,0.615339261,20.77330732,0.530953063,0.301198702,1.057232756,20.98647532,2.135638893,3.912583235,10.00608974,0.695126709,29.80096897,4.574825727,1.2477631,0.868619247,19.01385115,23.86862919,9.314456601,38.88987641,0.515794969,3.155961745,3.587294536,0.326542546,0.377435066,1.630290538,3.929072183,4.365145587,7.969990991,2.404202801,4.057270613,71.36908147,2.13069991,22.13848789,1.948520851,3.83780922,2.880927091,8.039966126,9.101187447,0.901737635,37.94051139,0.818938069,1.209622402,1.003644759,0.168873934,53.459481,14.18935598,0.317892298,5.568890221
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,10.12346913,6.503642203,6.453555049,0.279174054,13.0989777,0.036292251,1.296094996,10.21970075,2.116766527,20.2124391,21.14552958,1.088797479,2.665984935,0.746255307,0.69622715,1.086194884,1.00454124,16.17651222,0.554480472,0.177664511,21.62031723,24.45515382,27.83617313,49.51580056,14.11290323,0.418571518,5.431016447,2.806211656,11.00884006,4.291899617,1.47340467,,0.577421459,1.052969235,4.728876123,36.53823639,11.45892579,23.06156354,1.767254206,2.921241528,5.278833967,26.5738659,0.662584191,20.89575918,0.482628463,2.906329367,9.559738086,7.50042297,0.203649312,0.301115276,1.640953729,2.92814837,3.961541078,4.999349123,4.393356104,5.699142937,5.67698927,1.902261515,38.32326579,56.9493559,3.325128341,6.198648045,4.506181679,13.78201292,0.419893944,4.5372432,5.804315083,3.648534192,6.195033456,0.926033773,2.475503478,17.19388499,2.476636611,39.78687956,34.65120773,7.149135481,56.33026234,21.21320405,0.439620003,81.01788555,2.496696593,6.825217957,0.536461107,12.86768057,4.290669206,50.41598264,0.323101707,0.784686349,43.54881416,34.61341749,2.347187914,8.452247715,4.549035858,5.435284547,7.890071588,3.793520782,0.283932875,10.34909812,2.605272299,48.5306704,18.57877291,1.825236127,7.332083339,68.04885993,0.661463024,3.553834578,5.079447291,7.724147477,2.001025229,21.48967656,15.441722,0.957039129,15.08832904,2.842421167,0.291830186,9.031785243,2.285976494,11.05961031,73.0144601,66.55616173,25.78866121,7.410713656,10.2598194,4.800577082,2.688595002,4.594457235,3.842798759,7.306722574,3.312686836,8.641616534,1.890068203,1.12960995,29.59391207,1.231619476,2.473558162,3.031811297,3.68602603,11.62079655,6.467851657,6.853592673,3.108584869,0.293770996,2.022733903,4.995401835,1.544268462,3.701951257,0.210892733,5.0377769,11.98226272,2.441469259,0.326146926,0.054006153,2.839258338,3.240371672,12.44587821,2.674573044,0.111262387,0.919804576,2.232083479,4.076962453,7.222831888,13.87506967,35.1245598,3.337257222,3.65449908,5.862319968,3.949572928,0.730809432,10.36439245,0.772242586,62.96637574,0.84984123,10.05868719,4.025528287,0.640760296,0.551837766,0.595068741,15.91224005,0.448844433,0.287533239,1.03401224,21.32434706,2.643487827,4.59607234,11.3583945,1.928251653,31.06882839,5.682759475,1.117724805,0.901653226,27.01825558,28.13304015,10.7114035,39.49614204,0.348723703,2.890994717,2.893681587,0.227515962,0.378560062,1.915056164,2.634290885,5.265387322,8.970233921,1.388374412,5.163608427,69.22823942,2.070774023,20.83635513,1.804257247,3.113726803,2.841195293,5.271137712,9.19208613,0.505229888,38.68258035,0.484858422,1.126992115,5.704379769,0.162155556,49.41811737,10.56457767,0.254208529,5.754945604
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,10.05468443,7.92128291,8.489038861,0.247529429,12.78264571,0.040235696,1.208453154,10.3077664,2.198258585,20.43323717,18.66764323,1.940128243,2.852363895,1.074212698,0.768968594,1.329649251,0.715991743,17.75931254,1.236204085,0.222024676,21.41674239,24.01054811,28.57373894,50.77988699,12.91103203,0.385327536,6.649725994,2.323581818,12.14029793,5.343073236,1.455366497,,0.607644,0.927983493,1.136429295,35.89475973,11.39866366,23.28518501,1.433871894,3.023364011,4.947604282,27.8470646,0.474781501,21.7504402,0.406784432,2.519463352,5.518249165,6.061946498,0.183499085,0.414035284,3.271874918,3.377057822,4.824589706,4.257862354,4.422098626,5.650502475,8.10294462,1.962222472,40.18855535,57.38275159,3.068841993,5.353867303,4.027295792,14.14438404,0.379178226,4.156300218,7.816374729,3.456846994,7.993176518,1.262590615,2.323826417,18.05353643,3.2211031,42.11127921,33.52297593,6.573766579,55.63998731,18.16975354,0.41167251,79.32068757,2.152003408,4.31801804,0.611284206,13.03442803,4.71490739,52.22065741,0.342282053,0.850825774,43.30864713,35.87592622,2.06746414,8.885912524,1.282928491,5.696161025,8.111942902,2.647904967,0.302156856,8.067288203,2.380162548,48.17102321,14.75383321,1.47410273,6.605611784,67.79402138,0.623166709,3.407735924,5.913046702,8.649270473,1.906792398,17.86075012,13.91540895,1.168935242,17.09117306,2.355893453,0.271282822,8.574739666,1.628225296,11.5752479,74.95337901,77.76446382,32.46274406,7.594383076,11.188129,3.372496879,1.462079661,4.147666417,3.30831276,10.11443892,2.502369736,9.082857122,2.531085893,1.079234193,31.5010558,1.177977952,2.364742431,3.726044002,2.455569768,11.23024488,5.545143284,6.985891525,3.117271525,0.269084368,2.581619096,5.721672966,2.006511416,3.291285003,0.177114495,2.308494328,11.23943404,1.924348207,0.265071458,0.072240564,2.908215095,2.645187425,12.43885403,3.268924599,0.138180206,1.067904213,2.482820642,4.153061509,8.132914822,15.06400632,29.99576181,2.342813981,3.284752125,6.245617035,3.612852801,0.608579705,10.46922168,0.802559524,65.56097846,0.752473674,8.77041618,5.651393112,0.633293393,0.455880751,0.598133821,15.25142479,0.389447557,0.30618971,0.802054717,21.02792252,4.353524567,4.934801546,12.90336148,2.431453604,32.27435251,6.948552106,1.256394186,0.952039265,32.84656305,33.5610616,12.33830292,40.04684171,0.332233431,2.666291707,2.346321266,0.160280124,0.366377042,2.339503308,2.380544875,6.170858059,9.955220909,0.997001924,6.702149818,64.44441046,1.99737012,19.29166992,1.484521576,2.890254119,2.355390056,5.33934504,9.31710319,0.545662335,33.69689322,0.506499506,1.09468416,4.878896767,0.158417928,47.75764833,7.605177201,0.205631277,6.634189484
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,9.607493553,10.42053579,11.24913567,0.329247447,12.74658276,0.045274445,1.145024966,10.25429731,2.316238048,22.06988433,16.3377632,2.28130388,3.080256958,1.34465552,0.821444221,1.564402495,0.495761194,20.74455115,1.344668536,0.250128446,18.08917533,25.6076262,29.25928235,51.71697056,11.74145956,0.354308132,8.015459118,2.637292566,12.85069635,6.416035837,1.378205265,8.885962156,0.649839655,0.779871901,1.028028867,32.08321896,9.066428483,23.50299207,1.16886419,3.209734233,4.384371991,26.57726243,0.418817116,22.31626108,0.352932248,2.208259515,2.960224308,4.97615069,0.167909152,0.435082455,3.323742483,2.385808352,6.262283551,2.940895322,4.438893468,7.314677975,10.18214717,2.089995376,43.34198854,69.81058347,2.317483583,4.712291213,3.517558408,13.07735052,0.347801376,3.816695006,10.53219493,3.49199107,7.804137111,1.490890931,2.220159249,19.50985392,4.299778487,44.35637533,38.97134259,6.493749957,59.39092041,16.95685946,0.405332269,85.17631231,2.16265525,3.032811597,0.696308951,12.24195014,5.247057259,54.89370776,0.358962606,0.926715942,44.97014395,38.4014805,1.865149664,9.196361342,0.855961797,5.734048157,8.416771402,2.041952511,0.324437796,4.149509211,2.15858506,50.01138418,14.34380946,1.356722912,6.239008526,66.97231425,0.474188932,3.293346526,6.815694857,9.705732045,1.8646526,14.88468565,14.8889014,1.438169657,17.74960679,2.133953855,0.254017291,8.417904767,1.153106348,12.29302553,63.87867762,82.59682347,33.41164239,8.244542026,12.32524642,3.677842908,1.313864521,3.778186167,2.902600348,14.84691751,2.187083214,9.573998314,0.916711297,1.033223158,34.31798148,1.164245871,2.358168292,5.29184631,1.595628386,11.45458967,4.845182864,7.325890004,3.202197549,0.251224232,3.267096142,6.905705093,1.922096027,3.013958731,0.150512093,2.094203489,11.44380604,2.292540956,0.217048359,0.066147118,3.301743371,2.326504499,14.05308739,3.97825797,0.059942621,1.24878841,2.745089054,4.254476153,9.664956028,16.08693117,22.50283554,1.95410522,2.916341862,5.888117543,3.27744393,0.514439809,10.64434065,0.900072165,78.97688436,0.721952111,8.364517609,7.608497847,0.663414714,0.382664351,0.626163098,14.17422271,0.364129758,0.312930171,0.728768857,21.25956616,10.55579144,5.757845985,13.9037065,2.235056454,33.57654818,7.765223367,3.560274344,1.028067397,30.29587582,35.02217638,13.2873927,39.93922092,0.32437726,2.529281864,1.887765628,0.136186211,0.348629164,2.885839231,2.999267836,7.271446294,10.63383601,0.723185415,8.78944061,61.93196508,1.96562168,19.63140098,1.284396149,2.710032204,2.133836719,4.502623186,9.221999905,0.602989034,34.08986572,0.550962676,1.216195653,4.837232175,0.154388358,48.29388703,5.579611049,0.186543067,7.866329066
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,9.258099382,10.76285187,13.9761798,0.298282588,12.98304516,0.05126504,1.082398378,10.28002117,2.42388473,23.99092087,10.93924203,2.338058198,3.342157146,1.539631678,0.880296871,1.699241821,0.344478817,22.11303928,1.450119186,0.276704395,17.48074084,25.94778255,30.62158344,52.11498097,10.23284421,0.32502084,9.928798925,3.667695783,13.15537402,7.729706184,1.32483936,6.862621644,0.699406489,0.747312741,0.642313165,25.00580741,7.205549085,23.9068,0.954655862,3.519378507,3.756490298,28.06199038,0.358465704,22.52801918,0.302146267,1.935751651,2.433305794,4.160260512,0.152916404,0.468001009,3.432261676,1.675164518,6.716494739,2.866785594,4.325217363,10.64567043,12.07307564,2.155120286,49.17272577,64.28507089,2.489705042,4.11940115,3.074087079,11.95483821,0.31848565,3.515749447,12.03416223,3.387509345,7.615076306,1.735234486,2.195348485,21.18006754,5.607786971,46.86589424,38.06777452,6.330565183,56.05638334,15.97202457,0.403583673,73.94043544,2.175058436,2.915068721,0.707335628,11.46305002,5.738541238,58.15351897,0.36945327,1.021942885,50.99216335,38.57093761,1.645838377,9.638600244,0.67437168,5.587813053,8.589734217,1.444081709,0.349673392,3.582841025,1.926973735,50.47904779,14.55400813,1.240873583,5.861108041,63.97611616,0.270116556,3.607453558,7.877163453,10.46889837,1.810854644,13.70389981,15.84385917,1.883021429,18.42664028,2.023699337,0.240203749,8.926966288,0.81580036,12.74264834,39.53757828,68.55844127,33.7293424,8.682766125,13.92623644,3.521895055,1.177582126,3.474233892,2.597571578,19.70612841,1.867666128,10.04413985,0.724331975,0.986243704,37.66138998,1.190895567,2.457894812,7.529702247,1.631849268,11.48975764,4.117073495,7.803631495,3.259708553,0.238402023,4.207182374,7.618389589,1.850300334,2.663952654,0.128091019,2.762961519,11.46162365,2.439967705,0.1791406,0.079725074,3.680751534,1.950405342,15.66608524,4.825054158,0.050869753,1.470189535,3.05888629,4.38819707,10.27893044,17.13547887,20.18842965,1.621242482,2.586260772,6.28870713,2.901053396,0.441598735,10.89235563,2.635749033,101.7415522,0.715847561,8.000359273,11.70383693,0.734708578,0.32441905,0.65569144,13.73937472,0.346413284,0.308139217,0.672446805,21.38500119,13.69246217,6.672406578,14.56989511,2.027724294,34.17121508,8.71920764,3.26360624,1.113487913,28.21690278,38.74298265,13.83988631,39.03362661,0.314734112,2.367699992,1.536582884,0.134938278,0.351496397,3.728757949,1.848646324,8.68833171,10.54966858,0.625825317,10.15644122,66.15453867,1.951236182,18.86760235,1.072551807,2.57481736,2.023898635,3.749701914,8.705082618,0.667803189,34.56279634,0.611784722,1.297438412,4.522002796,0.151511157,49.47754641,4.08838268,0.171447582,8.384228027
